costs,locs,techs,cost_energy_cap
monetary,CNOR,Bio_PP_ex,3000.0
monetary,CNOR,CCGT_PP_ex,900.0
monetary,CNOR,Coal_PP_ex,1800.0
monetary,CNOR,Geo_PP_ex,3500.0
monetary,CNOR,Geo_PP_new,3500.0
monetary,CNOR,Hydrodam_PP_ex,1900.0
monetary,CNOR,Hydroror_PP_ex,2300.0
monetary,CNOR,Hydroror_PP_new,2300.0
monetary,CNOR,Oil_PP_ex,1800.0
monetary,CNOR,PHS_PP_new,1900.0
monetary,CNOR,PV_PP_ex,900.0
monetary,CNOR,PV_PP_new,900.0
monetary,CNOR,PV_roof_ex,1250.0
monetary,CNOR,PV_roof_new,1250.0
monetary,CNOR,WTE_PP_ex,3500.0
monetary,CNOR,Wind_PP_ex,1350.0
monetary,CNOR,Wind_off_PP_new,3200.0
monetary,CNOR,Wind_on_PP_new,1350.0
monetary,CSUD,Bio_PP_ex,3000.0
monetary,CSUD,CCGT_PP_ex,900.0
monetary,CSUD,Hydrodam_PP_ex,1900.0
monetary,CSUD,Hydroror_PP_ex,2300.0
monetary,CSUD,Hydroror_PP_new,2300.0
monetary,CSUD,Oil_PP_ex,1800.0
monetary,CSUD,PHS_PP_ex,1900.0
monetary,CSUD,PHS_PP_new,1900.0
monetary,CSUD,PV_PP_ex,900.0
monetary,CSUD,PV_PP_new,900.0
monetary,CSUD,PV_roof_ex,1250.0
monetary,CSUD,PV_roof_new,1250.0
monetary,CSUD,USC_PP_ex,2000.0
monetary,CSUD,WTE_PP_ex,3500.0
monetary,CSUD,Wind_PP_ex,1350.0
monetary,CSUD,Wind_off_PP_new,3200.0
monetary,CSUD,Wind_on_PP_new,1350.0
monetary,NORD,Bio_PP_ex,3000.0
monetary,NORD,CCGT_PP_ex,900.0
monetary,NORD,Hydrodam_PP_ex,1900.0
monetary,NORD,Hydroror_PP_ex,2300.0
monetary,NORD,Hydroror_PP_new,2300.0
monetary,NORD,Oil_PP_ex,1800.0
monetary,NORD,PHS_PP_ex,1900.0
monetary,NORD,PHS_PP_new,1900.0
monetary,NORD,PV_PP_ex,900.0
monetary,NORD,PV_PP_new,900.0
monetary,NORD,PV_roof_ex,1250.0
monetary,NORD,PV_roof_new,1250.0
monetary,NORD,WTE_PP_ex,3500.0
monetary,NORD,Wind_PP_ex,1350.0
monetary,NORD,Wind_off_PP_new,3200.0
monetary,NORD,Wind_on_PP_new,1350.0
monetary,SARD,Bio_PP_ex,3000.0
monetary,SARD,CCGT_PP_ex,900.0
monetary,SARD,Coal_PP_ex,1800.0
monetary,SARD,Hydrodam_PP_ex,1900.0
monetary,SARD,Hydroror_PP_ex,2300.0
monetary,SARD,Hydroror_PP_new,2300.0
monetary,SARD,Oil_PP_ex,1800.0
monetary,SARD,PHS_PP_ex,1900.0
monetary,SARD,PHS_PP_new,1900.0
monetary,SARD,PV_PP_ex,900.0
monetary,SARD,PV_PP_new,900.0
monetary,SARD,PV_roof_ex,1250.0
monetary,SARD,PV_roof_new,1250.0
monetary,SARD,WTE_PP_ex,3500.0
monetary,SARD,Wind_PP_ex,1350.0
monetary,SARD,Wind_off_PP_new,3200.0
monetary,SARD,Wind_on_PP_new,1350.0
monetary,SICI,Bio_PP_ex,3000.0
monetary,SICI,CCGT_PP_ex,900.0
monetary,SICI,Hydrodam_PP_ex,1900.0
monetary,SICI,Hydroror_PP_ex,2300.0
monetary,SICI,Hydroror_PP_new,2300.0
monetary,SICI,Oil_PP_ex,1800.0
monetary,SICI,PHS_PP_ex,1900.0
monetary,SICI,PHS_PP_new,1900.0
monetary,SICI,PV_PP_ex,900.0
monetary,SICI,PV_PP_new,900.0
monetary,SICI,PV_roof_ex,1250.0
monetary,SICI,PV_roof_new,1250.0
monetary,SICI,Wind_PP_ex,1350.0
monetary,SICI,Wind_off_PP_new,3200.0
monetary,SICI,Wind_on_PP_new,1350.0
monetary,SUD,Bio_PP_ex,3000.0
monetary,SUD,CCGT_PP_ex,900.0
monetary,SUD,Coal_PP_ex,1800.0
monetary,SUD,Hydrodam_PP_ex,1900.0
monetary,SUD,Hydroror_PP_ex,2300.0
monetary,SUD,Hydroror_PP_new,2300.0
monetary,SUD,Oil_PP_ex,1800.0
monetary,SUD,PHS_PP_new,1900.0
monetary,SUD,PV_PP_ex,900.0
monetary,SUD,PV_PP_new,900.0
monetary,SUD,PV_roof_ex,1250.0
monetary,SUD,PV_roof_new,1250.0
monetary,SUD,WTE_PP_ex,3500.0
monetary,SUD,Wind_PP_ex,1350.0
monetary,SUD,Wind_off_PP_new,3200.0
monetary,SUD,Wind_on_PP_new,1350.0
