locs,techs,resource_eff
CNOR,Hydrodam_PP_ex,1.0
CNOR,Hydroror_PP_ex,1.0
CNOR,Hydroror_PP_new,1.0
CNOR,PHS_PP_new,0.635
CNOR,PV_PP_ex,1.0
CNOR,PV_PP_new,1.0
CNOR,PV_roof_ex,1.0
CNOR,PV_roof_new,1.0
CNOR,Wind_PP_ex,1.0
CNOR,Wind_off_PP_new,1.0
CNOR,Wind_on_PP_new,1.0
CSUD,Hydrodam_PP_ex,1.0
CSUD,Hydroror_PP_ex,1.0
CSUD,Hydroror_PP_new,1.0
CSUD,PHS_PP_ex,0.635
CSUD,PHS_PP_new,0.635
CSUD,PV_PP_ex,1.0
CSUD,PV_PP_new,1.0
CSUD,PV_roof_ex,1.0
CSUD,PV_roof_new,1.0
CSUD,Wind_PP_ex,1.0
CSUD,Wind_off_PP_new,1.0
CSUD,Wind_on_PP_new,1.0
NORD,Hydrodam_PP_ex,1.0
NORD,Hydroror_PP_ex,1.0
NORD,Hydroror_PP_new,1.0
NORD,PHS_PP_ex,0.635
NORD,PHS_PP_new,0.635
NORD,PV_PP_ex,1.0
NORD,PV_PP_new,1.0
NORD,PV_roof_ex,1.0
NORD,PV_roof_new,1.0
NORD,Wind_PP_ex,1.0
NORD,Wind_off_PP_new,1.0
NORD,Wind_on_PP_new,1.0
SARD,Hydrodam_PP_ex,1.0
SARD,Hydroror_PP_ex,1.0
SARD,Hydroror_PP_new,1.0
SARD,PHS_PP_ex,0.635
SARD,PHS_PP_new,0.635
SARD,PV_PP_ex,1.0
SARD,PV_PP_new,1.0
SARD,PV_roof_ex,1.0
SARD,PV_roof_new,1.0
SARD,Wind_PP_ex,1.0
SARD,Wind_off_PP_new,1.0
SARD,Wind_on_PP_new,1.0
SICI,Hydrodam_PP_ex,1.0
SICI,Hydroror_PP_ex,1.0
SICI,Hydroror_PP_new,1.0
SICI,PHS_PP_ex,0.635
SICI,PHS_PP_new,0.635
SICI,PV_PP_ex,1.0
SICI,PV_PP_new,1.0
SICI,PV_roof_ex,1.0
SICI,PV_roof_new,1.0
SICI,Wind_PP_ex,1.0
SICI,Wind_off_PP_new,1.0
SICI,Wind_on_PP_new,1.0
SUD,Hydrodam_PP_ex,1.0
SUD,Hydroror_PP_ex,1.0
SUD,Hydroror_PP_new,1.0
SUD,PHS_PP_new,0.635
SUD,PV_PP_ex,1.0
SUD,PV_PP_new,1.0
SUD,PV_roof_ex,1.0
SUD,PV_roof_new,1.0
SUD,Wind_PP_ex,1.0
SUD,Wind_off_PP_new,1.0
SUD,Wind_on_PP_new,1.0
