costs,locs,techs,cost
monetary,CNOR,Geo_PP_ex,427373606.18488014
monetary,CNOR,Geo_PP_new,618828612.1379596
monetary,CNOR,Hydrodam_PP_ex,193623312.4862109
monetary,CNOR,Hydroror_PP_ex,106634504.00412798
monetary,CNOR,Hydroror_PP_new,0.0
monetary,CNOR,PHS_PP_new,0.0
monetary,CNOR,PV_PP_ex,135992105.98164257
monetary,CNOR,PV_PP_new,4588197701.294454
monetary,CNOR,PV_roof_ex,286810476.0933757
monetary,CNOR,PV_roof_new,0.0
monetary,CNOR,Trans:CSUD,128766.01412021233
monetary,CNOR,Trans:NORD,481971.59939035197
monetary,CNOR,Trans:SARD,35129.32323777424
monetary,CNOR,Wind_PP_ex,32630701.911527503
monetary,CNOR,Wind_off_PP_new,18484412971.061035
monetary,CNOR,Wind_on_PP_new,73877768995.40529
monetary,CSUD,Hydrodam_PP_ex,137987246.74650222
monetary,CSUD,Hydroror_PP_ex,168551312.78071842
monetary,CSUD,Hydroror_PP_new,0.0
monetary,CSUD,PHS_PP_ex,402822115.98590255
monetary,CSUD,PHS_PP_new,0.0
monetary,CSUD,PV_PP_ex,138473282.54603395
monetary,CSUD,PV_PP_new,0.0
monetary,CSUD,PV_roof_ex,417178874.3176373
monetary,CSUD,PV_roof_new,0.0
monetary,CSUD,Trans:CNOR,1452719.5326580254
monetary,CSUD,Trans:SARD,582411.5619683502
monetary,CSUD,Trans:SUD,529499.002352567
monetary,CSUD,Wind_PP_ex,455257262.8138415
monetary,CSUD,Wind_off_PP_new,41550521587.34634
monetary,CSUD,Wind_on_PP_new,186482867287.00513
monetary,NORD,Hydrodam_PP_ex,1804373198.1309934
monetary,NORD,Hydroror_PP_ex,1317452097.8574522
monetary,NORD,Hydroror_PP_new,1011307876.6843104
monetary,NORD,PHS_PP_ex,1213498629.002148
monetary,NORD,PHS_PP_new,87392188.2595398
monetary,NORD,PV_PP_ex,856005914.7150307
monetary,NORD,PV_PP_new,20407230053.36656
monetary,NORD,PV_roof_ex,1152108991.2405417
monetary,NORD,PV_roof_new,0.0
monetary,NORD,Trans:CNOR,249715.76879122484
monetary,NORD,Wind_off_PP_new,980885692787.3961
monetary,NORD,Wind_on_PP_new,785301612789.2344
monetary,SARD,Hydrodam_PP_ex,45097075.31324407
monetary,SARD,Hydroror_PP_ex,13759290.839242319
monetary,SARD,Hydroror_PP_new,0.0
monetary,SARD,PHS_PP_ex,56792886.07296782
monetary,SARD,PHS_PP_new,0.0
monetary,SARD,PV_PP_ex,48087564.843204625
monetary,SARD,PV_PP_new,539690975.4384006
monetary,SARD,PV_roof_ex,127587205.72881074
monetary,SARD,PV_roof_new,0.0
monetary,SARD,Trans:CNOR,21836.793066506263
monetary,SARD,Trans:CSUD,56513.20486025877
monetary,SARD,Wind_PP_ex,215244690.32001576
monetary,SARD,Wind_off_PP_new,7700049268.259353
monetary,SARD,Wind_on_PP_new,13261947036.894588
monetary,SICI,Hydrodam_PP_ex,3921484.8098473097
monetary,SICI,Hydroror_PP_ex,44717695.227537535
monetary,SICI,Hydroror_PP_new,0.0
monetary,SICI,PHS_PP_ex,137549015.21469843
monetary,SICI,PHS_PP_new,498269472.34102285
monetary,SICI,PV_PP_ex,74553448.19671282
monetary,SICI,PV_PP_new,518003937.5459174
monetary,SICI,PV_roof_ex,195726421.86735818
monetary,SICI,PV_roof_new,0.0
monetary,SICI,Trans:SUD,171835.13799365785
monetary,SICI,Wind_PP_ex,417908869.05968356
monetary,SICI,Wind_off_PP_new,652612976.8026986
monetary,SICI,Wind_on_PP_new,47737701416.04595
monetary,SUD,Hydrodam_PP_ex,168378754.02281886
monetary,SUD,Hydroror_PP_ex,89435390.45507507
monetary,SUD,Hydroror_PP_new,0.0
monetary,SUD,PHS_PP_new,0.0
monetary,SUD,PV_PP_ex,131147904.1178308
monetary,SUD,PV_PP_new,864163729.3460507
monetary,SUD,PV_roof_ex,548590219.7276931
monetary,SUD,PV_roof_new,0.0
monetary,SUD,Trans:CSUD,1141089.784003863
monetary,SUD,Trans:SICI,922093.846349249
monetary,SUD,Wind_PP_ex,1189841196.8100963
monetary,SUD,Wind_off_PP_new,11474995399.413702
monetary,SUD,Wind_on_PP_new,16314391366.645178
