locs,techs,energy_cap
CNOR,Geo_PP_ex,817000.0
CNOR,Geo_PP_new,1183000.0
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,Hydroror_PP_new,0.0
CNOR,PEM_new,1984499.9999999998
CNOR,PHS_PP_new,0.0
CNOR,PV_PP_ex,1151000.0
CNOR,PV_PP_new,0.0
CNOR,PV_roof_ex,1650000.0
CNOR,PV_roof_new,0.0
CNOR,Trans:CSUD,14700000.0
CNOR,Trans:NORD,15750000.0
CNOR,Trans:SARD,450000.0
CNOR,Wind_PP_ex,166000.0
CNOR,Wind_off_PP_new,52974863.591054924
CNOR,Wind_on_PP_new,0.0
CNOR,demand_power,9838931.286
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,Hydroror_PP_new,0.0
CSUD,PEM_new,992249.9999999999
CSUD,PHS_PP_ex,1681000.0
CSUD,PHS_PP_new,0.0
CSUD,PV_PP_ex,1172000.0
CSUD,PV_PP_new,0.0
CSUD,PV_roof_ex,2400000.0
CSUD,PV_roof_new,0.0
CSUD,Trans:CNOR,14700000.0
CSUD,Trans:SARD,1500000.0
CSUD,Trans:SUD,8550000.0
CSUD,Wind_PP_ex,2316000.0
CSUD,Wind_off_PP_new,409016426.7353774
CSUD,Wind_on_PP_new,0.0
CSUD,demand_power,19329661.82
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3830000.0
NORD,Hydroror_PP_new,2940000.0
NORD,PEM_new,1984499.9999999998
NORD,PHS_PP_ex,5064000.0
NORD,PHS_PP_new,1859002.7704395466
NORD,PV_PP_ex,7245000.0
NORD,PV_PP_new,183006141.2771391
NORD,PV_roof_ex,6628000.0
NORD,PV_roof_new,10640113.14450829
NORD,Trans:CNOR,15750000.0
NORD,Wind_off_PP_new,22720852863.22628
NORD,Wind_on_PP_new,0.0
NORD,demand_power,57886039.27
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,Hydroror_PP_new,0.0
SARD,PEM_new,1261112.4190309336
SARD,PHS_PP_ex,237000.0
SARD,PHS_PP_new,0.0
SARD,PV_PP_ex,407000.0
SARD,PV_PP_new,2862349.675704895
SARD,PV_roof_ex,734000.0
SARD,PV_roof_new,0.0
SARD,Trans:CNOR,450000.0
SARD,Trans:CSUD,1500000.0
SARD,Wind_PP_ex,1095000.0
SARD,Wind_off_PP_new,32142222.2016443
SARD,Wind_on_PP_new,0.0
SARD,demand_power,2875271.808
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,Hydroror_PP_new,0.0
SICI,PEM_new,1195905.5936649058
SICI,PHS_PP_ex,574000.0
SICI,PHS_PP_new,584997.229560453
SICI,PV_PP_ex,631000.0
SICI,PV_PP_new,1861960.5589658995
SICI,PV_roof_ex,1126000.0
SICI,PV_roof_new,0.0
SICI,Trans:SUD,2250000.0
SICI,Wind_PP_ex,2126000.0
SICI,Wind_off_PP_new,478716958.44215435
SICI,Wind_on_PP_new,48244000.0
SICI,demand_power,8023271.071
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,Hydroror_PP_new,0.0
SUD,PEM_new,1202034.4837815964
SUD,PHS_PP_new,0.0
SUD,PV_PP_ex,1110000.0
SUD,PV_PP_new,553548.4881901237
SUD,PV_roof_ex,3156000.0
SUD,PV_roof_new,0.0
SUD,Trans:CSUD,8550000.0
SUD,Trans:SICI,2250000.0
SUD,Wind_PP_ex,6053000.0
SUD,Wind_off_PP_new,201549275.71551436
SUD,Wind_on_PP_new,0.0
SUD,demand_power,11867926.82
