locs,techs,energy_cap_equals
CNOR,Geo_PP_ex,817000.0
CNOR,Hydrodam_PP_ex,790000.0
CNOR,Hydroror_PP_ex,310000.0
CNOR,OXC_PP_new,2000000.0
CNOR,PV_PP_ex,1151000.0
CNOR,PV_roof_ex,1650000.0
CNOR,Trans:SARD,450000.0
CNOR,Wind_PP_ex,166000.0
CSUD,Hydrodam_PP_ex,563000.0
CSUD,Hydroror_PP_ex,490000.0
CSUD,OXC_PP_new,8800000.0
CSUD,PHS_PP_ex,1681000.0
CSUD,PV_PP_ex,1172000.0
CSUD,PV_roof_ex,2400000.0
CSUD,Trans:SARD,1500000.0
CSUD,Trans:SUD,8550000.0
CSUD,Wind_PP_ex,2316000.0
NORD,Hydrodam_PP_ex,7362000.0
NORD,Hydroror_PP_ex,3830000.0
NORD,OXC_PP_new,28000000.0
NORD,PHS_PP_ex,5064000.0
NORD,PV_PP_ex,7245000.0
NORD,PV_roof_ex,6628000.0
SARD,Hydrodam_PP_ex,184000.0
SARD,Hydroror_PP_ex,40000.0
SARD,OXC_PP_new,2400000.0
SARD,PHS_PP_ex,237000.0
SARD,PV_PP_ex,407000.0
SARD,PV_roof_ex,734000.0
SARD,Trans:CNOR,450000.0
SARD,Trans:CSUD,1500000.0
SARD,Wind_PP_ex,1095000.0
SICI,Hydrodam_PP_ex,16000.0
SICI,Hydroror_PP_ex,130000.0
SICI,OXC_PP_new,4000000.0
SICI,PHS_PP_ex,574000.0
SICI,PV_PP_ex,631000.0
SICI,PV_roof_ex,1126000.0
SICI,Trans:SUD,2250000.0
SICI,Wind_PP_ex,2126000.0
SUD,Hydrodam_PP_ex,687000.0
SUD,Hydroror_PP_ex,260000.0
SUD,OXC_PP_new,8800000.0
SUD,PV_PP_ex,1110000.0
SUD,PV_roof_ex,3156000.0
SUD,Trans:CSUD,8550000.0
SUD,Trans:SICI,2250000.0
SUD,Wind_PP_ex,6053000.0
