locs,techs,lookup_loc_techs
CNOR,Geo_PP_ex,CNOR::Geo_PP_ex::Power
CNOR,Geo_PP_new,CNOR::Geo_PP_new::Power
CNOR,Hydrodam_PP_ex,CNOR::Hydrodam_PP_ex::Power
CNOR,Hydroror_PP_ex,CNOR::Hydroror_PP_ex::Power
CNOR,Hydroror_PP_new,CNOR::Hydroror_PP_new::Power
CNOR,Nuclear_PP_new,CNOR::Nuclear_PP_new::Power
CNOR,OXC_PP_new,CNOR::OXC_PP_new::Power
CNOR,PHS_PP_new,CNOR::PHS_PP_new::Power
CNOR,PV_PP_ex,CNOR::PV_PP_ex::Power
CNOR,PV_PP_new,CNOR::PV_PP_new::Power
CNOR,PV_roof_ex,CNOR::PV_roof_ex::Power
CNOR,PV_roof_new,CNOR::PV_roof_new::Power
CNOR,Trans:CSUD,CNOR::Trans:CSUD::Power
CNOR,Trans:NORD,CNOR::Trans:NORD::Power
CNOR,Trans:SARD,CNOR::Trans:SARD::Power
CNOR,Wind_PP_ex,CNOR::Wind_PP_ex::Power
CNOR,Wind_off_PP_new,CNOR::Wind_off_PP_new::Power
CNOR,Wind_on_PP_new,CNOR::Wind_on_PP_new::Power
CNOR,demand_power,CNOR::demand_power::Power
CSUD,Hydrodam_PP_ex,CSUD::Hydrodam_PP_ex::Power
CSUD,Hydroror_PP_ex,CSUD::Hydroror_PP_ex::Power
CSUD,Hydroror_PP_new,CSUD::Hydroror_PP_new::Power
CSUD,Nuclear_PP_new,CSUD::Nuclear_PP_new::Power
CSUD,OXC_PP_new,CSUD::OXC_PP_new::Power
CSUD,PHS_PP_ex,CSUD::PHS_PP_ex::Power
CSUD,PHS_PP_new,CSUD::PHS_PP_new::Power
CSUD,PV_PP_ex,CSUD::PV_PP_ex::Power
CSUD,PV_PP_new,CSUD::PV_PP_new::Power
CSUD,PV_roof_ex,CSUD::PV_roof_ex::Power
CSUD,PV_roof_new,CSUD::PV_roof_new::Power
CSUD,Trans:CNOR,CSUD::Trans:CNOR::Power
CSUD,Trans:SARD,CSUD::Trans:SARD::Power
CSUD,Trans:SUD,CSUD::Trans:SUD::Power
CSUD,Wind_PP_ex,CSUD::Wind_PP_ex::Power
CSUD,Wind_off_PP_new,CSUD::Wind_off_PP_new::Power
CSUD,Wind_on_PP_new,CSUD::Wind_on_PP_new::Power
CSUD,demand_power,CSUD::demand_power::Power
NORD,Hydrodam_PP_ex,NORD::Hydrodam_PP_ex::Power
NORD,Hydroror_PP_ex,NORD::Hydroror_PP_ex::Power
NORD,Hydroror_PP_new,NORD::Hydroror_PP_new::Power
NORD,Nuclear_PP_new,NORD::Nuclear_PP_new::Power
NORD,OXC_PP_new,NORD::OXC_PP_new::Power
NORD,PHS_PP_ex,NORD::PHS_PP_ex::Power
NORD,PHS_PP_new,NORD::PHS_PP_new::Power
NORD,PV_PP_ex,NORD::PV_PP_ex::Power
NORD,PV_PP_new,NORD::PV_PP_new::Power
NORD,PV_roof_ex,NORD::PV_roof_ex::Power
NORD,PV_roof_new,NORD::PV_roof_new::Power
NORD,Trans:CNOR,NORD::Trans:CNOR::Power
NORD,Wind_off_PP_new,NORD::Wind_off_PP_new::Power
NORD,Wind_on_PP_new,NORD::Wind_on_PP_new::Power
NORD,demand_power,NORD::demand_power::Power
SARD,Hydrodam_PP_ex,SARD::Hydrodam_PP_ex::Power
SARD,Hydroror_PP_ex,SARD::Hydroror_PP_ex::Power
SARD,Hydroror_PP_new,SARD::Hydroror_PP_new::Power
SARD,Nuclear_PP_new,SARD::Nuclear_PP_new::Power
SARD,OXC_PP_new,SARD::OXC_PP_new::Power
SARD,PHS_PP_ex,SARD::PHS_PP_ex::Power
SARD,PHS_PP_new,SARD::PHS_PP_new::Power
SARD,PV_PP_ex,SARD::PV_PP_ex::Power
SARD,PV_PP_new,SARD::PV_PP_new::Power
SARD,PV_roof_ex,SARD::PV_roof_ex::Power
SARD,PV_roof_new,SARD::PV_roof_new::Power
SARD,Trans:CNOR,SARD::Trans:CNOR::Power
SARD,Trans:CSUD,SARD::Trans:CSUD::Power
SARD,Wind_PP_ex,SARD::Wind_PP_ex::Power
SARD,Wind_off_PP_new,SARD::Wind_off_PP_new::Power
SARD,Wind_on_PP_new,SARD::Wind_on_PP_new::Power
SARD,demand_power,SARD::demand_power::Power
SICI,Hydrodam_PP_ex,SICI::Hydrodam_PP_ex::Power
SICI,Hydroror_PP_ex,SICI::Hydroror_PP_ex::Power
SICI,Hydroror_PP_new,SICI::Hydroror_PP_new::Power
SICI,Nuclear_PP_new,SICI::Nuclear_PP_new::Power
SICI,OXC_PP_new,SICI::OXC_PP_new::Power
SICI,PHS_PP_ex,SICI::PHS_PP_ex::Power
SICI,PHS_PP_new,SICI::PHS_PP_new::Power
SICI,PV_PP_ex,SICI::PV_PP_ex::Power
SICI,PV_PP_new,SICI::PV_PP_new::Power
SICI,PV_roof_ex,SICI::PV_roof_ex::Power
SICI,PV_roof_new,SICI::PV_roof_new::Power
SICI,Trans:SUD,SICI::Trans:SUD::Power
SICI,Wind_PP_ex,SICI::Wind_PP_ex::Power
SICI,Wind_off_PP_new,SICI::Wind_off_PP_new::Power
SICI,Wind_on_PP_new,SICI::Wind_on_PP_new::Power
SICI,demand_power,SICI::demand_power::Power
SUD,Hydrodam_PP_ex,SUD::Hydrodam_PP_ex::Power
SUD,Hydroror_PP_ex,SUD::Hydroror_PP_ex::Power
SUD,Hydroror_PP_new,SUD::Hydroror_PP_new::Power
SUD,Nuclear_PP_new,SUD::Nuclear_PP_new::Power
SUD,OXC_PP_new,SUD::OXC_PP_new::Power
SUD,PHS_PP_new,SUD::PHS_PP_new::Power
SUD,PV_PP_ex,SUD::PV_PP_ex::Power
SUD,PV_PP_new,SUD::PV_PP_new::Power
SUD,PV_roof_ex,SUD::PV_roof_ex::Power
SUD,PV_roof_new,SUD::PV_roof_new::Power
SUD,Trans:CSUD,SUD::Trans:CSUD::Power
SUD,Trans:SICI,SUD::Trans:SICI::Power
SUD,Wind_PP_ex,SUD::Wind_PP_ex::Power
SUD,Wind_off_PP_new,SUD::Wind_off_PP_new::Power
SUD,Wind_on_PP_new,SUD::Wind_on_PP_new::Power
SUD,demand_power,SUD::demand_power::Power
