carriers,techs,systemwide_capacity_factor
Power,Geo_PP_ex,0.0005172465034144494
Power,Geo_PP_new,0.0008320927366425163
Power,Hydrodam_PP_ex,0.383485291612915
Power,Hydroror_PP_ex,0.44352833386080404
Power,Hydroror_PP_new,0.3791319265960278
Power,Nuclear_PP_new,0.957716995105975
Power,OXC_PP_new,0.1272998713238281
Power,PHS_PP_ex,1.4928126025301506e-07
Power,PHS_PP_new,0.28202933882462006
Power,PV_PP_ex,0.1374622259825847
Power,PV_PP_new,0.12193769100690227
Power,PV_roof_ex,0.12561337082586052
Power,Trans:CNOR,0.1427571271733844
Power,Trans:CSUD,0.08515251078294502
Power,Trans:NORD,0.001177839913811554
Power,Trans:SARD,0.12029018886579218
Power,Trans:SICI,0.020649473257894416
Power,Trans:SUD,0.051590122474201
Power,Wind_PP_ex,0.047041285050171674
Power,Wind_off_PP_new,0.20659516470558345
Power,Wind_on_PP_new,0.07450357849519633
