costs,locs,techs,cost_om_annual
monetary,CNOR,Battery_new,23.425
monetary,CNOR,Geo_PP_ex,170.0
monetary,CNOR,Geo_PP_new,170.0
monetary,CNOR,Hydrodam_PP_ex,55.0
monetary,CNOR,Hydroror_PP_ex,100.0
monetary,CNOR,Hydroror_PP_new,100.0
monetary,CNOR,Nuclear_PP_new,33.6
monetary,CNOR,OXC_PP_new,10.5
monetary,CNOR,PEM_new,80.55
monetary,CNOR,PHS_PP_new,48.0
monetary,CNOR,PV_PP_ex,19.0
monetary,CNOR,PV_PP_new,19.0
monetary,CNOR,PV_roof_ex,27.0
monetary,CNOR,PV_roof_new,27.0
monetary,CNOR,Wind_PP_ex,38.0
monetary,CNOR,Wind_off_PP_new,100.0
monetary,CNOR,Wind_on_PP_new,38.0
monetary,CSUD,Battery_new,23.425
monetary,CSUD,Hydrodam_PP_ex,55.0
monetary,CSUD,Hydroror_PP_ex,100.0
monetary,CSUD,Hydroror_PP_new,100.0
monetary,CSUD,Nuclear_PP_new,33.6
monetary,CSUD,OXC_PP_new,10.5
monetary,CSUD,PEM_new,80.55
monetary,CSUD,PHS_PP_ex,48.0
monetary,CSUD,PHS_PP_new,48.0
monetary,CSUD,PV_PP_ex,19.0
monetary,CSUD,PV_PP_new,19.0
monetary,CSUD,PV_roof_ex,27.0
monetary,CSUD,PV_roof_new,27.0
monetary,CSUD,Wind_PP_ex,38.0
monetary,CSUD,Wind_off_PP_new,100.0
monetary,CSUD,Wind_on_PP_new,38.0
monetary,NORD,Battery_new,23.425
monetary,NORD,Hydrodam_PP_ex,55.0
monetary,NORD,Hydroror_PP_ex,100.0
monetary,NORD,Hydroror_PP_new,100.0
monetary,NORD,Nuclear_PP_new,33.6
monetary,NORD,OXC_PP_new,10.5
monetary,NORD,PEM_new,80.55
monetary,NORD,PHS_PP_ex,48.0
monetary,NORD,PHS_PP_new,48.0
monetary,NORD,PV_PP_ex,19.0
monetary,NORD,PV_PP_new,19.0
monetary,NORD,PV_roof_ex,27.0
monetary,NORD,PV_roof_new,27.0
monetary,NORD,Wind_on_PP_new,38.0
monetary,SARD,Battery_new,23.425
monetary,SARD,Hydrodam_PP_ex,55.0
monetary,SARD,Hydroror_PP_ex,100.0
monetary,SARD,Hydroror_PP_new,100.0
monetary,SARD,Nuclear_PP_new,33.6
monetary,SARD,OXC_PP_new,10.5
monetary,SARD,PEM_new,80.55
monetary,SARD,PHS_PP_ex,48.0
monetary,SARD,PHS_PP_new,48.0
monetary,SARD,PV_PP_ex,19.0
monetary,SARD,PV_PP_new,19.0
monetary,SARD,PV_roof_ex,27.0
monetary,SARD,PV_roof_new,27.0
monetary,SARD,Wind_PP_ex,38.0
monetary,SARD,Wind_off_PP_new,100.0
monetary,SARD,Wind_on_PP_new,38.0
monetary,SICI,Battery_new,23.425
monetary,SICI,Hydrodam_PP_ex,55.0
monetary,SICI,Hydroror_PP_ex,100.0
monetary,SICI,Hydroror_PP_new,100.0
monetary,SICI,Nuclear_PP_new,33.6
monetary,SICI,OXC_PP_new,10.5
monetary,SICI,PEM_new,80.55
monetary,SICI,PHS_PP_ex,48.0
monetary,SICI,PHS_PP_new,48.0
monetary,SICI,PV_PP_ex,19.0
monetary,SICI,PV_PP_new,19.0
monetary,SICI,PV_roof_ex,27.0
monetary,SICI,PV_roof_new,27.0
monetary,SICI,Wind_PP_ex,38.0
monetary,SICI,Wind_off_PP_new,100.0
monetary,SICI,Wind_on_PP_new,38.0
monetary,SUD,Battery_new,23.425
monetary,SUD,Hydrodam_PP_ex,55.0
monetary,SUD,Hydroror_PP_ex,100.0
monetary,SUD,Hydroror_PP_new,100.0
monetary,SUD,Nuclear_PP_new,33.6
monetary,SUD,OXC_PP_new,10.5
monetary,SUD,PEM_new,80.55
monetary,SUD,PHS_PP_new,48.0
monetary,SUD,PV_PP_ex,19.0
monetary,SUD,PV_PP_new,19.0
monetary,SUD,PV_roof_ex,27.0
monetary,SUD,PV_roof_new,27.0
monetary,SUD,Wind_PP_ex,38.0
monetary,SUD,Wind_off_PP_new,100.0
monetary,SUD,Wind_on_PP_new,38.0
