locs,techs,energy_cap_max
CNOR,Nuclear_PP_new,2000000.0
CNOR,PHS_PP_new,2444000.0
CNOR,Trans:CSUD,14700000.0
CNOR,Trans:NORD,15750000.0
CNOR,Trans:SARD,1050000.0
CSUD,Nuclear_PP_new,2000000.0
CSUD,PHS_PP_new,2444000.0
CSUD,Trans:CNOR,14700000.0
CSUD,Trans:SARD,3500000.0
CSUD,Trans:SUD,19950000.0
NORD,Nuclear_PP_new,2000000.0
NORD,PHS_PP_new,2444000.0
NORD,Trans:CNOR,15750000.0
SARD,Nuclear_PP_new,2000000.0
SARD,PHS_PP_new,2444000.0
SARD,Trans:CNOR,1050000.0
SARD,Trans:CSUD,3500000.0
SICI,Nuclear_PP_new,2000000.0
SICI,PHS_PP_new,2444000.0
SICI,Trans:SUD,5250000.0
SUD,Nuclear_PP_new,2000000.0
SUD,PHS_PP_new,2444000.0
SUD,Trans:CSUD,19950000.0
SUD,Trans:SICI,5250000.0
