locs,techs,energy_con
CNOR,Battery_new,1.0
CNOR,PEM_new,1.0
CNOR,Trans:CSUD,1.0
CNOR,Trans:NORD,1.0
CNOR,Trans:SARD,1.0
CNOR,demand_power,1.0
CSUD,Battery_new,1.0
CSUD,PEM_new,1.0
CSUD,Trans:CNOR,1.0
CSUD,Trans:SARD,1.0
CSUD,Trans:SUD,1.0
CSUD,demand_power,1.0
NORD,Battery_new,1.0
NORD,PEM_new,1.0
NORD,Trans:CNOR,1.0
NORD,demand_power,1.0
SARD,Battery_new,1.0
SARD,PEM_new,1.0
SARD,Trans:CNOR,1.0
SARD,Trans:CSUD,1.0
SARD,demand_power,1.0
SICI,Battery_new,1.0
SICI,PEM_new,1.0
SICI,Trans:SUD,1.0
SICI,demand_power,1.0
SUD,Battery_new,1.0
SUD,PEM_new,1.0
SUD,Trans:CSUD,1.0
SUD,Trans:SICI,1.0
SUD,demand_power,1.0
